schedule,budget,samples,complete,C-Acc,tIoU,CardinalityError,tP@0.3,tR@0.3,tF1@0.3,tP@0.5,tR@0.5,tF1@0.5,tP@0.7,tR@0.7,tF1@0.7,EtF1,grounder_frames,embedding_frames,total_frames,budget_overflow_frames,model_calls,gpu_seconds,wall_seconds,peak_vram_bytes,gpu_time_ratio_vs_uniform,compute_matched_within_5pct,RouterRecall,OracleRouterRecall
uniform-one-shot,64,320,True,1.25,28.05470147957589,2.9125,43.46653065958165,19.262524801587304,25.868308080808077,31.082294829622132,14.6375248015873,19.351988636363636,21.180288461538463,9.677951388888888,13.006696428571427,1.0416666666666667,20480.0,0.0,20480.0,0.0,320.0,446.81792,573.6318119557109,9766281728.0,1.0,True,,
embedding-window-local,64,320,True,22.5,37.220399541836755,1.925,55.15624999999999,35.267714056776555,41.1791220931846,40.98958333333333,27.276270604395602,31.509472298534796,25.182291666666668,17.6328125,20.008146367521366,13.61111111111111,14980.0,5648.0,20628.0,148.0,701.0,367.195463,639.5308016071702,9712495104.0,0.8218011108417496,False,85.13100874819625,91.45890827922078
