schedule,budget,samples,complete,C-Acc,tIoU,CardinalityError,tP@0.3,tR@0.3,tF1@0.3,tP@0.5,tR@0.5,tF1@0.5,tP@0.7,tR@0.7,tF1@0.7,EtF1,grounder_frames,embedding_frames,total_frames,budget_overflow_frames,model_calls,gpu_seconds,wall_seconds,peak_vram_bytes,gpu_time_ratio_vs_uniform,compute_matched_within_5pct,RouterRecall,OracleRouterRecall
uniform-one-shot,64,320,True,11.875,41.7597114886724,2.234375,57.05109126984127,31.78534226190476,38.91941209375419,36.505208333333336,22.8406498015873,27.090086357356093,21.671875,13.702876984126982,16.150235729183095,8.371527777777779,20480.0,0.0,20480.0,0.0,320.0,300.715304,427.1113569473382,9771649024.0,1.0,True,,
full-video-multipass,64,320,True,8.75,37.19774772798278,2.584375,41.68924951737451,22.680555555555557,28.17512302525419,21.635416666666668,12.9453125,15.690250721500721,10.572916666666664,6.289062500000001,7.622542388167389,4.600694444444444,20480.0,0.0,20480.0,0.0,640.0,405.451996,532.7860335928854,9342980608.0,1.3482918581356937,False,,
uniform-window-local,64,320,True,34.0625,35.23091236313054,1.521875,52.78124999999999,38.47442748223998,42.73026269074063,40.078125,30.139253108003107,33.21684070627086,23.328125000000004,18.131553342490843,19.716076458263956,16.399305555555557,20480.0,0.0,20480.0,0.0,701.0,345.164486,604.4120829341755,9772000256.0,1.1478115061280685,False,,
embedding-window-local,64,320,True,36.25,40.938697459404004,1.5125,56.71874999999999,42.54911841630592,46.95765692640693,40.26041666666666,31.097966269841272,34.00696699134199,23.958333333333332,19.34002976190476,20.861133658008658,18.48090277777778,14980.0,5648.0,20628.0,148.0,701.0,386.430201,658.121539164555,9719629824.0,1.2850366970348805,False,85.13100874819625,91.45890827922078
uniform-one-shot,128,320,True,20.0,46.74359469426076,1.93125,63.22470238095238,40.56884695165945,47.207175736200504,47.05654761904762,32.445932539682545,36.94679160386397,29.087797619047617,20.505828373015873,23.19136766011766,14.463541666666666,40960.0,0.0,40960.0,0.0,320.0,509.112581,758.3944847108796,10633603584.0,1.0,True,,
full-video-multipass,128,320,True,14.6875,42.751464355854964,2.240625,52.08720012626262,32.25609893578644,38.00597492784993,33.773832070707066,22.925719246031743,26.33695211038961,18.520833333333332,12.862847222222223,14.67884199134199,10.012152777777779,40960.0,0.0,40960.0,0.0,640.0,597.35151,848.4177937251516,9771649024.0,1.1733190895158805,False,,
uniform-window-local,128,320,True,33.75,38.632516430504616,1.4375,58.4375,43.770359848484844,48.155063074180724,45.15625,34.525940205627705,37.75229396828662,27.36979166666667,22.25645968614719,23.829122266622267,17.484375,40960.0,0.0,40960.0,0.0,701.0,526.039088,907.7530210668974,10634001920.0,1.0332470805705742,True,,
embedding-window-local,128,320,True,33.125,46.58250397318721,1.478125,66.12872023809524,50.096688034188034,54.933230420894894,50.10267857142857,39.471955128205124,42.720144028121005,32.357142857142854,26.771310286935286,28.484817494274733,21.14409722222222,35312.0,5648.0,40960.0,0.0,701.0,574.94578,972.2082256944725,10580908544.0,1.1293097076302658,False,85.13100874819625,91.45890827922078
