schedule,prompt_mode,fps,min_pixels,total_pixels,samples,complete,C-Acc,tIoU,CardinalityError,tP@0.3,tR@0.3,tF1@0.3,tP@0.5,tR@0.5,tF1@0.5,tP@0.7,tR@0.7,tF1@0.7,EtF1,requested_frames_estimate,model_calls,gpu_seconds,wall_seconds,peak_vram_bytes
paper-2fps-official,official,2.0,2048,8388608,320,True,0.3125,35.7767133621017,2.665625,68.75,25.498027146464647,36.07618596681096,54.37499999999999,20.70138888888889,29.099950396825392,37.8125,14.378720238095239,20.22941468253968,0.20833333333333334,141826.0,320.0,2190.1023210000003,2190.1023210000003,11747655168.0
paper-2fps-controlled,controlled,2.0,2048,8388608,320,True,24.375,50.2948276375797,1.709375,68.36244137806638,47.177376443001435,53.25021638900316,53.4482435966811,38.97051993145743,43.242728064419246,35.56387536075036,26.323299963924963,29.10169135398915,17.79253472222222,141826.0,320.0,2352.597354,2352.597354,11758418944.0
