model,result,dimension,bucket,samples,C-Acc,EtF1,tIoU
Qwen/Qwen3-VL-4B-Instruct,paper-2fps-controlled,median_span,5–15s,132,3.0303030303030303,2.276936026936027,27.533625211171863
Qwen/Qwen3-VL-4B-Instruct,paper-2fps-controlled,median_span,>15s,94,0.0,0.0,39.133268849612755
Qwen/Qwen3-VL-4B-Instruct,paper-2fps-controlled,median_span,≤5s,94,5.319148936170213,4.191216584833606,24.622402723767827
Qwen/Qwen3-VL-4B-Instruct,paper-2fps-controlled,span_count,2–3,199,1.5075376884422111,1.2004466778336125,33.30966904262778
Qwen/Qwen3-VL-4B-Instruct,paper-2fps-controlled,span_count,4–5,73,4.109589041095891,3.6073059360730597,24.687086161568004
Qwen/Qwen3-VL-4B-Instruct,paper-2fps-controlled,span_count,≥6,48,6.25,4.006410256410256,24.93104638531392
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,dispersion,25–60%,137,14.598540145985401,10.624493106244932,43.625578841107966
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,dispersion,<25%,44,6.818181818181818,3.7878787878787876,42.5773444607084
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,dispersion,≥60%,139,10.79136690647482,7.6019184652278184,39.66187207821733
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,duration,120–300s,157,9.554140127388536,8.280254777070065,47.54211838510906
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,duration,>300s,65,4.615384615384615,1.1282051282051282,22.64279284283635
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,duration,≤120s,98,20.408163265306122,13.321995464852609,45.17564852172126
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,evidence_density,10–30%,149,12.751677852348994,9.656972408650264,41.38621545921317
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,evidence_density,<10%,78,10.256410256410257,3.3618233618233617,22.82613349421952
